학교명,관할구군청,주소,우편번호,전화번호,팩스번호
대구명곡초등학교,달성군,대구광역시 달성군 화원읍 명곡로 40,42959,053-235-1464,053-638-8305
대구죽곡초등학교,달성군,대구광역시 달성군 다사읍 죽곡1길 18,42918,053-235-1360,053-592-1360
대구화원초등학교,달성군,대구광역시 달성군 화원읍 비슬로 2580,42955,053-235-0205,053-635-8857
대구금계초등학교,달성군,대구광역시 달성군 옥포면 금계길 55,42969,053-235-0343,053-614-1676
대구금포초등학교,달성군,대구광역시 달성군 논공읍 금포초등길 28,42974,053-235-0440,053-616-3775
경북대학교사범대학부설중학교,중구,대구광역시 중구 달구벌대로 2178,41950,053-232-8255,053-427-0678
신아중학교,동구,대구광역시 동구 아양로39길 30,41185,053-232-7130,053-959-4909
공산중학교,동구,대구광역시 동구 팔공로197길 26,41009,053-232-9040,053-984-9436
동촌중학교,동구,대구광역시 동구 동촌로 176,41159,053-232-6164,053-985-5035
불로중학교,동구,대구광역시 동구 방천로5길 8,41042,053-232-6572,053-983-9216
신기중학교,동구,대구광역시 동구 율하동로 88,41116,053-232-7313,053-964-2153
새론중학교,동구,대구광역시 동구 이노밸리로 255,41068,053-233-5801,053-964-6464
영신중학교,동구,대구광역시 동구 팔공로50길 32,41021,053-232-8500,053-981-9749
입석중학교,동구,대구광역시 동구 동촌로 10,41153,053-232-6940,053-985-0711
청구중학교,동구,대구광역시 동구 국채보상로 827,41262,053-232-8787,053-751-5727
강동중학교,동구,대구광역시 동구 동호로 112,41089,053-232-7615,053-965-7615
율원중학교,동구,대구광역시 동구 율하동로 20,41103,053-232-8200,053-965-9147
안심중학교,동구,대구광역시 동구 안심로 237,41117,053-232-6231,053-964-1233
대구팔공중학교,동구,대구광역시 동구 연경지묘로 150,41003,053-233-5190,053-981-8003
대구제일중학교,중구,대구광역시 중구 명륜로23길 16,41958,053-232-7777,053-425-4436
계성중학교,중구,대구광역시 중구 달성로 35,41927,053-232-8351,053-253-0929
경구중학교,중구,대구광역시 중구 남산로 20,41972,053-232-8900,053-255-3844
성명여자중학교,중구,대구광역시 중구 국채보상로102길 48,41931,053-254-1807~9,053-254-1806
경신중학교,수성구,대구광역시 수성구 달구벌대로504길 34,42093,053-760-0100,053-760-0169
능인중학교,수성구,대구광역시 수성구 무학로 207,42183,053-232-9121,053-768-5119
고산중학교,수성구,대구광역시 수성구 천을로 71,42261,053-232-7510,053-792-3599
지산중학교,수성구,대구광역시 수성구 지산로3길 68,42205,053-232-6633,053-782-6576
정화중학교,수성구,대구광역시 수성구 청호로84길 123,42083,053-292-9202,053-745-6310
오성중학교,수성구,대구광역시 수성구 달구벌대로522길 78,42083,053-232-8700,053-743-8730
신명여자중학교,수성구,대구광역시 수성구 신천동로 364,42129,053-232-9290,053-744-3705
시지중학교,수성구,대구광역시 수성구 신매로 66,42275,053-232-6830,053-791-4191
매호중학교,수성구,대구광역시 수성구 천을로 106,42268,053-232-7400,053-791-9840
수성중학교,수성구,대구광역시 수성구 파동로51길 26-9,42222,053-232-6316,053-768-6862
황금중학교,수성구,대구광역시 수성구 들안로32길 40,42148,053-232-7955,053-763-2469
소선여자중학교,수성구,대구광역시 수성구 교학로8길 37,42078,053-232-9502,053-753-7534
범물중학교,수성구,대구광역시 수성구 범안로4길 46,42243,053-232-6804,053-782-8435
범일중학교,수성구,대구광역시 수성구 지범로41길 23,42199,053-232-7870,053-784-9628
동원중학교,수성구,대구광역시 수성구 효행로2길 81,42064,053-232-6400,053-957-1451
동도중학교,수성구,대구광역시 수성구 청호로 350,42082,053-232-7270,053-745-6626
덕화중학교,수성구,대구광역시 수성구 들안로9길 36,42163,053-232-7786,053-768-3342
덕원중학교,수성구,대구광역시 수성구 욱수길 37,42288,053-232-8560,053-792-9341
대륜중학교,수성구,대구광역시 수성구 달구벌대로 2700,42071,053-232-8380,053-756-9603
대구중앙중학교,수성구,대구광역시 수성구 신천동로 496,42000,053-770-0000,053-770-0089
대구동중학교,수성구,대구광역시 수성구 수성로76길 33,42123,053-232-6000,053-756-8808
대구동부중학교,수성구,대구광역시 수성구 화랑로32길 74,42034,053-232-7045,053-741-0660
노변중학교,수성구,대구광역시 수성구 시지로 66,42251,053-232-8046,053-794-8040
평리중학교,서구,대구광역시 서구 국채보상로55길 21,41775,053-233-6170,053-521-3409
대평중학교,서구,대구광역시 서구 통학로 217,41739,053-233-7903,053-563-2306
중리중학교,서구,대구광역시 서구 국채보상로34길 63,41839,053-233-6250,053-556-1364
서남중학교,서구,대구광역시 서구 당산로41서길 97,41846,053-233-7800,053-555-1403
서대구중학교,서구,대구광역시 서구 북비산로45길 7,41737,053-233-7872,053-552-6020
경일중학교,서구,대구광역시 서구 달서천로76길 11,41734,053-233-6100,053-356-1870
경운중학교,서구,대구광역시 서구 서대구로3길 32,41853,053-233-6000,053-562-6994
경상여자중학교,서구,대구광역시 서구 국채보상로 384,41804,053-233-8510,053-571-2510
경명여자중학교,북구,대구광역시 북구 칠성로17길 18,41578,053-233-8453,053-426-0191
대구북중학교,북구,대구광역시 북구 공항로 50,41527,053-233-6330,053-952-2614
관천중학교,북구,대구광역시 북구 구암로22길 7,41460,053-233-6771,053-321-6749
교동중학교,북구,대구광역시 북구 관음중앙로32길 15,41442,053-233-6878,053-322-9638
대구일중학교,북구,대구광역시 북구 옥산로17길 21,41590,053-233-7500,053-233-7483
동평중학교,북구,대구광역시 북구 대천로 123,41428,053-233-7400,053-325-3987
복현중학교,북구,대구광역시 북구 동북로65길 28,41528,053-233-6670,053-943-4845
산격중학교,북구,대구광역시 북구 동북로 31길,41502,053-233-7100,053-383-7110
성광중학교,북구,대구광역시 북구 검단로 150,41521,053-233-8355,053-384-0510
성화중학교,북구,대구광역시 북구 복현로 140,41522,053-233-8600,053-383-2473
운암중학교,북구,대구광역시 북구 구암로49길 9,41432,053-233-6983,053-321-0974
칠곡중학교,북구,대구광역시 북구 칠곡중앙대로 583,41403,053-233-6480,053-322-8313
침산중학교,북구,대구광역시 북구 침산남로 121,41559,053-233-6600,053-359-1671
팔달중학교,북구,대구광역시 북구 매천로2길 19-22,41489,053-233-6910,053-312-2890
학남중학교,북구,대구광역시 북구 학남로 83,41419,053-233-7777,053-326-8120
서변중학교,북구,대구광역시 북구 서변로21길 14,41474,053-233-8171,053-951-4045
강북중학교,북구,대구광역시 북구 구암서로 27,41428,053-233-8071,053-327-0330
동변중학교,북구,대구광역시 북구 동변로14길 12,41414,053-233-8000,053-953-2703
매천중학교,북구,대구광역시 북구 매전로 56,41471,053-233-8241,053-233-8250
대구체육중학교,북구,대구광역시 북구 칠곡중앙대로136길 29,41404,053-233-8700,053-314-8115
사수중학교,북구,대구광역시 북구 내곡로 140,41492,053-233-8770,053-323-9401
구암중학교,북구,대구광역시 북구 태암로 85,41464,053-233-7288,053-322-5424
관음중학교,북구,대구광역시 북구 관음동로 87,41444,053-233-7151,053-321-5221
경상중학교,남구,대구광역시 남구 현충로48길 33,42412,053-234-6100,053-629-4278
경혜여자중학교,남구,대구광역시 남구 성당로18길 20,42471,053-234-8420,053-651-3374
대구중학교,남구,대구광역시 남구 대봉로 120,42436,053-234-6002,053-474-6175
대명중학교,남구,대구광역시 남구 앞산순환로 477,42489,053-234-7386,053-652-2546
경일여자중학교,남구,대구광역시 남구 효성로 37,42507,053-234-9194,053-472-9004
협성경복중학교,남구,대구광역시 남구 효성로 35,42507,053-234-8444,053-471-6963
새본리중학교,달서구,대구광역시 달서구 대명천로 167,42683,053-234-7666,053-527-6301
월암중학교,달서구,대구광역시 달서구 조암로6길 33,42753,053-234-8280,053-635-2309
구남중학교,달서구,대구광역시 달서구 두류남길 10,42664,053-234-8816,053-625-8054
대건중학교,달서구,대구광역시 달서구 월곡로94길 46,42726,053-234-8808,053-637-8401
대곡중학교,달서구,대구광역시 달서구 도원남로 5,42831,053-234-6805,053-234-6777
대서중학교,달서구,대구광역시 달서구 월배로 303,42748,053-234-6281,053-634-0967
도원중학교,달서구,대구광역시 달서구 미리샘길 32,42838,053-234-7070,053-634-8559
상서중학교,달서구,대구광역시 달서구 야외음악당로 107,42655,053-234-9000,053-629-3915
상원중학교,달서구,대구광역시 달서구 상인로 117,42807,053-234-7734,053-641-2207
상인중학교,달서구,대구광역시 달서구 상인로 34,42813,053-234-6900,053-639-4016
성당중학교,달서구,대구광역시 달서구 대명천로 102,42677,053-234-6450,053-654-7245
성산중학교,달서구,대구광역시 달서구 선원남로 174,42618,053-234-6950,053-581-4126
성서중학교,달서구,대구광역시 달서구 용산서로 63,42630,053-234-6158,053-521-8166
성지중학교,달서구,대구광역시 달서구 성서동로 361,42620,053-234-7308,053-592-8011
송현여자중학교,달서구,대구광역시 달서구 송현로 156,42738,053-234-9300,053-652-4351
신당중학교,달서구,대구광역시 달서구 서당로 30,42613,053-234-7861,053-584-4825
영남중학교,달서구,대구광역시 달서구 월곡로 300,42748,053-234-8700,053-634-7705
와룡중학교,달서구,대구광역시 달서구 선원남로 23,42610,053-234-6675,053-583-7557
용산중학교,달서구,대구광역시 달서구 와룡로45길 72,42632,053-234-7456,053-557-4371
원화중학교,달서구,대구광역시 달서구 당산로30길 30,42655,053-608-2220,053-608-2209
월배중학교,달서구,대구광역시 달서구 월배로28길 80,42789,053-234-5791,053-633-5690
이곡중학교,달서구,대구광역시 달서구 선원로37길 65,42605,053-234-7160,053-588-0932
학산중학교,달서구,대구광역시 달서구 월곡로94길 10,42726,053-234-6651,053-632-6602
효성중학교,달서구,대구광역시 달서구 월곡로94길 48,42726,053-234-8900,053-638-9123
월서중학교,달서구,대구광역시 달서구 월배로33길 105,42778,053-234-8160,053-643-7615
성곡중학교,달서구,대구광역시 달서구 새방로 32,42607,053-234-8000,053-584-9824
대진중학교,달서구,대구광역시 달서구 화암로73길 7,42768,053-234-8050,053-641-1585
조암중학교,달서구,대구광역시 달서구 조암로 59,42756,053-234-9321,053-641-0301
경암중학교,달서구,대구광역시 달서구 당산로30길 20,42654,053-234-9100,053-623-7436
경서중학교,달성군,대구광역시 달성군 옥포읍 돌미로5길 15,42974,053-235-3104,053-616-2668
달성중학교,달성군,대구광역시 달성군 화원읍 비슬로506길 14,42956,053-235-3000,053-638-1948
한울안중학교,달성군,대구광역시 달성군 현풍면 지동길 31,43007,053-233-9970,053-256-4578
유가중학교,달성군,대구광역시 달성군 유가읍 테크노대로5길 20,43019,053-235-2750,053-615-2718
왕선중학교,달성군,대구광역시 달성군 다사읍 대실역북로 83,42914,053-235-3765,053-235-3825
천내중학교,달성군,대구광역시 달성군 화원읍 성천로 202,42950,053-235-3675,053-641-0844
심인중학교,달성군,대구광역시 달성군 다사읍 대실역남로1길 21,42919,053-234-8540,053-655-3336
서재중학교,달성군,대구광역시 달성군 다사읍 서재로26길 18,42927,053-235-3491,053-235-3558
북동중학교,달성군,대구광역시 달성군 논공읍 논공로7길 43,42978,053-235-3564,053-235-3613
화원중학교,달성군,대구광역시 달성군 화원읍 성암로 48,42966,053-235-3339,053-636-3401
현풍중학교,달성군,대구광역시 달성군 현풍면 비슬로 675,43001,053-235-3963,053-615-2074
달서중학교,달성군,대구광역시 달성군 하빈면 하빈로 118,42903,053-235-3900,053-582-4445
다사중학교,달성군,대구광역시 달성군 다사읍 매곡로2길 8-5,42908,053-235-3200,053-591-7606
논공중학교,달성군,대구광역시 달성군 논공읍 논공로 256,42985,053-235-3311,053-235-3320
구지중학교,달성군,대구광역시 달성군 구지면 국가산단대로66길 22,43008,053-233-9888,053-611-8785
가창중학교,달성군,대구광역시 달성군 가창면 원정길 2,42938,053-235-3859,053-767-7220
포산중학교,달성군,대구광역시 달성군 유가면 테크노북로6길 10,43015,053-235-2910,053-617-3358
서동중학교,달성군,대구광역시 달성군 다사읍 서재로12길 11-11,42928,053-233-9810,053-584-8935
경북대학교사범대학부설고등학교,중구,대구광역시 중구 달구벌대로 2178,41950,053-231-9400,053-425-7275
대구관광고등학교,동구,대구광역시 동구 동북로71길 37,41182,053-235-9711,053-957-1448
대구공업고등학교,동구,대구광역시 동구 대현로 135,41196,053-231-8200,053-959-4456
대구일마이스터고등학교,동구,대구광역시 동구 효동로 48,41171,053-231-8811,053-958-3502
대구동부고등학교,동구,대구광역시 동구 반야월북로 199,41074,"053-235-6701,6702",053-963-7252
대구일과학고등학교,동구,대구광역시 동구 경안로 987,41063,053-231-7700,053-963-8015
달구벌고등학교,동구,대구광역시 동구 팔공산로2길 16,41000,053-235-9845,053-981-1350
강동고등학교,동구,대구광역시 동구 금강로 65,41089,053-231-6310,053-964-1554
영신고등학교,동구,대구광역시 동구 팔공로50길 32,41021,053-235-4700,053-981-0841
정동고등학교,동구,대구광역시 동구 용계로1길 49,41124,053-235-5800,053-962-1724
조일고등학교,동구,대구광역시 동구 신덕로 136-11,41123,053-235-9000,053-962-5846
청구고등학교,동구,대구광역시 동구 국채보상로 827,41262,053-235-5000,053-752-3935
경북공업고등학교,중구,대구광역시 중구 남산로 20,41972,053-235-8500,053-252-5045
경북여자고등학교,중구,대구광역시 중구 중앙대로 288,41963,053-231-7115,053-421-3495
신명고등학교,중구,대구광역시 중구 국채보상로102길 48,41931,053-720-1840,053-720-1893
대구과학고등학교,수성구,대구광역시 수성구 동대구로 154,42110,053-231-7532,053-765-0023
대구남산고등학교,수성구,대구광역시 수성구 신천동로 364,42129,053-235-6450,053-744-8266
대구여자고등학교,수성구,대구광역시 수성구 달구벌대로488길 17,42086,053-231-7300,053-741-8463
대구농업마이스터고등학교,수성구,대구광역시 수성구 달구벌대로 3170,42257,053-231-8014,053-795-9953
대구혜화여자고등학교,수성구,대구광역시 수성구 교학로12길 62,42077,053-235-8000,053-754-1250
대륜고등학교,수성구,대구광역시 수성구 달구벌대로 2700,42071,053-756-9501,053-756-9503
덕원고등학교,수성구,대구광역시 수성구 욱수길 37,42288,053-235-5346,053-235-5368
시지고등학교,수성구,대구광역시 수성구 신매로 6,42283,053-231-4680,053-794-2015
영남공업고등학교,수성구,대구광역시 수성구 교학로 96,42077,053-235-8600,053-745-2772
오성고등학교,수성구,대구 수성구 달구벌대로522길 78,42083,053-235-5200,053-755-2475
정화여자고등학교,수성구,대구광역시 수성구 청호로84길 123,42083,053-235-7311,053-745-6307
대구중앙고등학교,수성구,대구광역시 수성구 신천동로 496,42000,053-790-0000,053-790-0081
동문고등학교,수성구,대구광역시 수성구 효행로 17,42064,053-231-6200,053-231-6282
수성고등학교,수성구,대구광역시 수성구 용학로28길 36,42218,053-231-6436,053-783-8150
경북고등학교,수성구,대구광역시 수성구 청호로 300,42084,053-231-4002,053-766-6055
경신고등학교,수성구,대구광역시 수성구 달구벌대로504길 34,42093,053-760-0000,053-760-0022
능인고등학교,수성구,대구광역시 수성구 무학로 207,42183,053-235-4420,053-766-6115
대구서부고등학교,서구,대구광역시 서구 국채보상로53길 32,41775,053-231-4540,053-572-2509
대구과학기술고등학교,서구,대구광역시 서구 당산로 228,41855,053-231-9000,053-551-0355
달성고등학교,서구,대구광역시 서구 달구벌대로 1725,41857,053-231-4284,053-561-2489
경덕여자고등학교,서구,대구광역시 서구 국채보상로34길 50,41838,053-231-7417,053-557-0103
계성고등학교,서구,대구광역시 서구 새방로 171,41751,053-235-4159,053-254-4512
대구제일고등학교,서구,대구광역시 서구 국채보상로 384,41804,053-235-6802,053-571-2959
대중금속공업고등학교,북구,대구광역시 북구 관음로 303-12,41400,053-235-9111,053-767-7619
구암고등학교,북구,대구광역시 북구 태암남로11길 7,41465,053-231-4450,053-312-9880
성화여자고등학교,북구,대구광역시 북구 복현로 140,41522,053-235-7680,053-383-2474
영송여자고등학교,북구,대구광역시 북구 태전로 92,41453,053-235-8170,053-322-3922
성광고등학교,북구,대구광역시 북구 검단로 150,41521,053-235-4785,053-384-0221
영진고등학교,북구,대구광역시 북구 동북로57길 9,41529,053-235-5500,053-957-1657
운암고등학교,북구,대구광역시 북구 학정로 378,41428,053-231-5350,053-323-2864
대구체육고등학교,북구,대구광역시 북구 칠곡중앙대로136길 29,41404,053-231-7900,053-314-8110
학남고등학교,북구,대구광역시 북구 학남로 78,41420,053-231-5870,053-326-3867
매천고등학교,북구,대구광역시 북구 매전로 70,41471,053-231-6700,053-231-6757
함지고등학교,북구,대구광역시 북구 학정로48길 46,41473,053-231-6840,053-314-3507
칠성고등학교,북구,대구광역시 북구 칠성로 13,41586,053-231-6910,053-355-6775
강북고등학교,북구,대구광역시 북구 태전로 100,41453,053-235-5951,053-323-2460
경명여자고등학교,북구,대구광역시 북구 칠성로17길 18,41578,053-235-7200,053-426-0951
경상고등학교,북구,대구광역시 북구 공항로15길 24,41521,053-235-6011,053-384-1814
경상여자고등학교,북구,대구광역시 북구 침산남로9길 164,41547,053-235-8163,053-351-4152
대구국제고등학교,북구,대구광역시 북구 도남길 77,41408,053-235-6597,053-235-6571
대구고등학교,남구,대구광역시 남구 중앙대로 171,42416,053-231-4145,053-656-7949
대구여자상업고등학교,남구,대구광역시 남구 현충로40길 50,42414,053-235-9190,053-622-7602
경일여자고등학교,남구,대구광역시 남구 효성로 37,42507,053-235-7500,053-471-7784
경상공업고등학교,남구,대구광역시 남구 대경길 151,42462,053-235-8807,053-628-2365
경북예술고등학교,남구,대구광역시 남구 중앙대로47길 30,42410,053-235-8299,053-622-4199
경북여자상업고등학교,남구,대구광역시 남구 명덕로38길 36,42410,053-235-9398,053-652-4607
협성고등학교,남구,대구광역시 남구 효성로 33,42507,053-235-6166,053-473-1671
대구달서공업고등학교,달서구,대구광역시 달서구 학산남로 50,42748,053-231-8708,053-639-7391
대건고등학교,달서구,대구광역시 달서구 월곡로94길 46,42726,053-235-4600,053-635-9628
대구외국어고등학교,달서구,대구광역시 달서구 선원로11길 21,42603,053-231-7800,053-592-8007
대구전자공업고등학교,달서구,대구광역시 달서구 용산로 113,42686,053-231-8490,053-562-7024
대구제일여자상업고등학교,달서구,대구광역시 달서구 대명천로 120,42677,053-231-9274,053-655-2892
상서고등학교,달서구,대구광역시 달서구 야외음악당로 107,42655,053-235-9550,053-626-8109
상인고등학교,달서구,대구광역시 달서구 상인로 24,42813,053-231-5160,053-644-8870
성서고등학교,달서구,대구광역시 달서구 선원로 221,42606,053-231-4800,053-584-9976
송현여자고등학교,달서구,대구광역시 달서구 송현로 156,42738,053-235-7800,053-628-7556
영남고등학교,달서구,대구광역시 달서구 월곡로 300,42748,053-235-4000,053-638-8085
대구상원고등학교,달서구,대구광역시 달서구 월배로 241,42748,053-231-6062,053-231-6179
대구보건고등학교,달서구,대구광역시 달서구 두류남길 10,42664,053-235-9501,053-626-6462
경화여자고등학교,달서구,대구광역시 달서구 당산로30길 20,42654,053-235-7577,053-625-8650
와룡고등학교,달서구,대구광역시 달서구 선원로23북길 20,42604,053-231-5030,053-586-1689
원화여자고등학교,달서구,대구광역시 달서구 당산로30길 30,42655,053-235-7101,053-652-4042
효성여자고등학교,달서구,대구광역시 달서구 월곡로94길 48,42726,053-235-7000,053-633-4566
대곡고등학교,달서구,대구광역시 달서구 도원남로 80,42830,053-231-5668,053-231-5681
성산고등학교,달서구,대구광역시 달서구 새방로7길 33,42606,053-231-5700,053-584-9177
도원고등학교,달서구,대구광역시 달서구 미리샘길 52,42838,053-231-6000,053-231-6007
대진고등학교,달서구,대구광역시 달서구 화암로73길 15,42768,053-231-6592,053-231-6688
호산고등학교,달서구,대구광역시 달서구 달서대로109길 86,42709,053-231-7100,053-584-9404
경북기계공업고등학교,달서구,대구광역시 달서구 월배로 275,42748,053-231-8322,053-637-8196
경원고등학교,달서구,대구광역시 달서구 새방로 77,42606,053-235-5600,053-568-1102
대원고등학교,달성군,대구광역시 달성군 화원읍 비슬로 2658,42964,053-668-1000,053-668-1144
다사고등학교,달성군,대구광역시 달성군 다사읍 달구벌대로 839,42910,053-231-5002,053-593-9897
달서고등학교,달성군,대구광역시 달성군 하빈면 하빈로 118,42903,053-235-6400,053-583-0445
대구소프트웨어마이스터고등학교,달성군,대구광역시 달성군 구지면 창리로11길 93,43010,053-231-9226,053-614-0709
심인고등학교,달성군,대구광역시 달성군 다사읍 대실역남로1길 21,42919,053-235-5050,053-653-9979
현풍고등학교,달성군,대구광역시 달성군 현풍면 비슬로 675,43001,053-235-6249,053-611-5052
화원고등학교,달성군,대구광역시 달성군 화원읍 비슬로 2458,42957,053-231-5462,053-643-6325
비슬고등학교,달성군,대구광역시 달성군 현풍면 테크노북로 100,42995,053-231-9700,053-611-3909
포산고등학교,달성군,대구광역시 달성군 현풍면 비슬로 556-13,43005,053-231-5310,053-616-1295
대구공업고등학교 테크노폴리스 캠퍼스,달성군,대구광역시 달성군 유가읍 유가길 46,42993,053-235-0661,053-235-0698
대구선명학교,동구,대구광역시 동구 팔공산로 225,41000,"053-231-3603,3611",053-986-7056
대구남양학교,수성구,대구광역시 수성구 무학로37안길 6,42184,053-231-3008,053-765-0837
대구성보학교,북구,대구광역시 북구 동북로71길 9-45,41528,053-231-3168,053-943-0556
대구이룸고등학교,북구,대구광역시 북구 복현로8길 16-54,41528,053-233-7596,053-233-7605
대구광명학교,남구,대구광역시 남구 성당로50길 33,42400,053-231-3300,053-624-5836
대구영화학교,남구,대구광역시 남구 성당로50길 33,42400,053-231-3390,053-628-6629
대구보건학교,남구,대구광역시 남구 성당로50길 33,42400,053-231-3541,053-626-4933
대구덕희학교,남구,대구광역시 남구 성당로50길 33,42400,053-231-3771,053-626-3061
대구보명학교,남구,대구광역시 남구 성당로50길 33,42400,053-231-3500,053-627-9783
대구세명학교,달서구,대구광역시 달서구 새방로 62,42607,053-231-9560,053-585-2575
대구예아람학교,달성군,대구광역시 달성군 옥포읍 비슬로 1934,42974,053-235-5223,053-611-5207
